,"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""pH"";""sulphates"";""alcohol"";""quality"""
11848,6.5;0.26;0.34;1.4;0.04;25;184;0.99216;3.29;0.46;10.7;5
11849,6.6;0.27;0.33;1.4;0.042;24;183;0.99215;3.29;0.46;10.7;5
11850,5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;8
11851,7.8;0.19;0.32;7.4;0.015;47;124;0.99278;2.99;0.39;11;6
11852,5.5;0.17;0.23;2.9;0.039;10;108;0.99243;3.28;0.5;10;5
11853,6.5;0.26;0.34;1.4;0.04;25;184;0.99216;3.29;0.46;10.7;5
11854,6.6;0.27;0.33;1.4;0.042;24;183;0.99215;3.29;0.46;10.7;5
11855,7.8;0.19;0.32;7.4;0.015;47;124;0.99278;2.99;0.39;11;6
11856,7.8;0.2;0.32;5;0.016;31;101;0.99186;2.99;0.39;11;6
11857,6.1;0.17;0.28;2.5;0.028;22;98;0.99072;3.16;0.37;11.1;7
11858,7.4;0.2;0.35;6.1;0.025;10;40;0.99244;2.79;0.52;10.9;5
11859,6.7;0.39;0.24;2.7;0.017;22;80;0.99084;3.03;0.37;11.5;5
11860,5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;8
11861,6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5
11862,6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5
11863,6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5
11864,6.3;0.24;0.29;13.7;0.035;53;134;0.99567;3.17;0.38;10.6;6
11865,6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5
11866,7.4;0.27;0.31;2.4;0.014;15;143;0.99094;3.03;0.65;12;4
11867,6.1;0.27;0.28;9.8;0.042;61;125;0.99532;3.14;0.42;10.2;6
11868,6.3;0.24;0.29;13.7;0.035;53;134;0.99567;3.17;0.38;10.6;6
11869,5;0.61;0.12;1.3;0.009;65;100;0.9874;3.26;0.37;13.5;5
11870,6.7;0.42;0.39;12.1;0.04;61;248;0.99794;3.31;0.58;9.7;5
11871,6.5;0.33;0.28;6.1;0.018;41;103;0.99122;3.24;0.32;12.2;6
11872,6.9;0.33;0.31;7.7;0.04;29;135;0.99226;3.11;0.57;12.3;5
11873,6.5;0.33;0.28;6.1;0.018;41;103;0.99122;3.24;0.32;12.2;6
11874,6.3;0.15;0.3;1.4;0.022;38;100;0.99099;3.42;0.57;11.4;7
11875,6.5;0.32;0.45;7.7;0.022;31;97;0.99134;3.2;0.7;12.7;7
11876,6.7;0.42;0.39;12.1;0.04;61;248;0.99794;3.31;0.58;9.7;5
11877,7.4;0.25;0.29;6.8;0.02;31;113;0.99338;3.13;0.29;10.8;6
11878,7.6;0.27;0.3;9.2;0.018;23;96;0.9938;3.08;0.29;11;6
11879,6.4;0.27;0.45;8.3;0.05;52;196;0.9955;3.18;0.48;9.5;5
11880,6.5;0.25;0.27;17.4;0.064;29;140;0.99776;3.2;0.49;10.1;6
11881,5.6;0.19;0.31;2.7;0.027;11;100;0.98964;3.46;0.4;13.2;7
11882,7.4;0.29;0.48;12.8;0.037;61.5;182;0.99808;3.02;0.34;8.8;5
11883,6.4;0.34;0.44;8.2;0.043;54;201;0.99551;3.18;0.48;9.5;5
11884,6.6;0.27;0.52;8.1;0.044;53;202;0.99548;3.18;0.48;9.5;5
11885,6.6;0.26;0.52;8.2;0.047;52;191;0.99541;3.16;0.47;9.5;6
11886,6.4;0.27;0.45;8.3;0.05;52;196;0.9955;3.18;0.48;9.5;5
11887,6.5;0.26;0.5;8;0.051;46;197;0.99536;3.18;0.47;9.5;5
11888,6.8;0.25;0.3;11.8;0.043;53;133;0.99524;3.03;0.58;10.4;6
11889,6.3;0.32;0.26;12;0.049;63;170;0.9961;3.14;0.55;9.9;6
11890,5.5;0.24;0.45;1.7;0.046;22;113;0.99224;3.22;0.48;10;5
11891,6.5;0.25;0.27;17.4;0.064;29;140;0.99776;3.2;0.49;10.1;6
11892,6.6;0.13;0.29;13.9;0.056;33;95;0.99702;3.17;0.39;9.4;6
11893,7;0.39;0.21;10.7;0.098;13;91;0.99657;3.03;0.47;9.3;5
11894,7.9;0.21;0.39;2;0.057;21;138;0.99176;3.05;0.52;10.9;5
11895,7;0.3;0.28;2.2;0.042;21;177;0.99166;3.2;0.57;11.4;5
11896,8.1;0.2;0.3;1.3;0.036;7;49;0.99242;2.99;0.73;10.3;5
11897,8.3;0.18;0.3;1.1;0.033;20;57;0.99109;3.02;0.51;11;6
11898,7.9;0.21;0.39;2;0.057;21;138;0.99176;3.05;0.52;10.9;5
11899,7.2;0.17;0.34;6.4;0.042;16;111;0.99278;2.99;0.4;10.8;6
11900,8.1;0.2;0.3;1.3;0.036;7;49;0.99242;2.99;0.73;10.3;5
11901,8.3;0.18;0.3;1.1;0.033;20;57;0.99109;3.02;0.51;11;6
11902,7;0.39;0.21;10.7;0.098;13;91;0.99657;3.03;0.47;9.3;5
11903,6.8;0.21;0.62;6.4;0.041;7;113;0.99358;2.96;0.59;10.2;5
11904,6.9;0.21;0.62;6.3;0.042;7;109;0.99358;2.96;0.59;10.2;6
11905,7.2;0.17;0.34;6.4;0.042;16;111;0.99278;2.99;0.4;10.8;6
11906,6.8;0.26;0.34;15.1;0.06;42;162;0.99705;3.24;0.52;10.5;3
11907,7.2;0.28;0.38;2;0.052;23;156;0.9912;3.13;0.52;11.1;5
11908,7.9;0.21;0.39;2;0.057;21;138;0.99176;3.05;0.52;10.9;5
11909,7;0.3;0.28;2.2;0.042;21;177;0.99166;3.2;0.57;11.4;5
11910,7.4;0.34;0.28;12.1;0.049;31;149;0.99677;3.22;0.49;10.3;5
11911,6.3;0.43;0.32;8.8;0.042;18;106;0.99172;3.28;0.33;12.9;7
11912,6.8;0.41;0.3;8.8;0.045;28;131;0.9953;3.12;0.59;9.9;5
11913,6.3;0.4;0.24;5.1;0.036;43;131;0.99186;3.24;0.44;11.3;6
11914,5.1;0.35;0.26;6.8;0.034;36;120;0.99188;3.38;0.4;11.5;6
11915,5.1;0.35;0.26;6.8;0.034;36;120;0.99188;3.38;0.4;11.5;6
11916,6.3;0.3;0.2;3.7;0.039;34;132;0.99158;3;0.38;10.7;5
11917,6.9;0.28;0.28;12.2;0.042;52;139;0.99522;3.03;0.56;10.4;6
11918,7;0.33;0.28;5.7;0.033;39;204;0.99176;3.17;0.64;12.5;6
11919,6.7;0.26;0.49;8.1;0.052;48;197;0.99558;3.19;0.48;9.5;5
11920,7.3;0.24;0.3;2.5;0.042;31;104;0.9911;3.05;0.56;11.3;7
11921,6.7;0.46;0.21;4;0.034;12;88;0.99016;3.26;0.54;13;6
11922,5.1;0.35;0.26;6.8;0.034;36;120;0.99188;3.38;0.4;11.5;6
11923,5.1;0.23;0.18;1;0.053;13;99;0.98956;3.22;0.39;11.5;5
11924,6.3;0.4;0.24;5.1;0.036;43;131;0.99186;3.24;0.44;11.3;6
11925,7.1;0.44;0.23;5.8;0.035;24;100;0.99062;3.15;0.57;13.2;7
11926,4.8;0.26;0.23;10.6;0.034;23;111;0.99274;3.46;0.28;11.5;7
11927,6.8;0.31;0.19;3.5;0.086;30;130;0.993;2.83;0.44;9.6;5
11928,6.8;0.31;0.19;3.5;0.086;30;130;0.993;2.83;0.44;9.6;5
11929,7;0.15;0.29;16.4;0.058;45;110;0.9978;3.15;0.37;9.7;6
11930,6.5;0.41;0.22;4.8;0.052;49;142;0.9946;3.14;0.62;9.2;5
11931,6.2;0.31;0.23;3.3;0.052;34;113;0.99429;3.16;0.48;8.4;5
11932,8;0.27;0.33;1.2;0.05;41;103;0.99002;3;0.45;12.4;6
11933,8;0.27;0.33;1.2;0.05;41;103;0.99002;3;0.45;12.4;6
11934,6.5;0.41;0.22;4.8;0.052;49;142;0.9946;3.14;0.62;9.2;5
11935,6.2;0.31;0.23;3.3;0.052;34;113;0.99429;3.16;0.48;8.4;5
11936,6.7;0.37;0.25;2.5;0.028;24;84;0.9909;3.14;0.36;11.7;6
11937,6.6;0.21;0.5;8.7;0.036;41;191;0.99294;2.96;0.56;11;6
11938,7.5;0.26;0.31;1.6;0.032;36;109;0.99044;2.97;0.43;11.9;6
11939,7.5;0.34;0.28;4;0.028;46;100;0.98958;3.2;0.5;13.2;7
11940,6.7;0.37;0.25;2.5;0.028;24;84;0.9909;3.14;0.36;11.7;6
11941,6.4;0.32;0.23;16.2;0.055;36;176;0.9986;3.26;0.54;9.1;5
11942,6.7;0.24;0.32;9;0.023;20;109;0.99262;3.34;0.35;12.6;6
11943,6.4;0.32;0.23;16.2;0.055;36;176;0.9986;3.26;0.54;9.1;5
11944,7.1;0.39;0.79;1.4;0.194;23;90;0.99212;3.17;0.46;10.5;6
11945,8.2;0.31;0.43;7;0.047;18;87;0.99628;3.23;0.64;10.6;5
11946,6.7;0.24;0.32;9;0.023;20;109;0.99262;3.34;0.35;12.6;6
11947,5.9;0.17;0.29;3.1;0.03;32;123;0.98913;3.41;0.33;13.7;7
11948,5.9;0.2;0.23;1.5;0.037;38;93;0.99021;3.36;0.49;12;6
11949,6.6;0.32;0.26;4.6;0.031;26;120;0.99198;3.4;0.73;12.5;7
11950,5.9;0.12;0.27;4.8;0.03;40;110;0.99226;3.55;0.68;12.1;6
11951,5.9;0.18;0.29;4.6;0.032;68;137;0.99159;3.21;0.38;11.3;6
11952,5.9;0.2;0.23;1.5;0.037;38;93;0.99021;3.36;0.49;12;6
11953,5.4;0.17;0.27;2.7;0.049;28;104;0.99224;3.46;0.55;10.3;6
11954,6.1;0.21;0.3;6.3;0.039;47;136;0.99068;3.27;0.31;12.7;6
11955,7.3;0.25;0.26;7.2;0.048;52;207;0.99587;3.12;0.37;9.2;5
11956,7.3;0.25;0.26;7.2;0.048;52;207;0.99587;3.12;0.37;9.2;5
11957,6.2;0.22;0.3;12.4;0.054;108;152;0.99728;3.1;0.47;9.5;6
11958,6.5;0.27;0.19;6.6;0.045;98;175;0.99364;3.16;0.34;10.1;6
11959,6.5;0.27;0.19;6.6;0.045;98;175;0.99364;3.16;0.34;10.1;6
11960,6.6;0.39;0.22;4;0.038;17;98;0.99018;3.25;0.53;13;7
11961,6;0.31;0.38;4.8;0.04;41;101;0.98968;3.24;0.56;13.1;6
11962,8.4;0.23;0.32;1.3;0.048;59;113;0.99178;3.1;0.55;11;6
11963,7.3;0.25;0.26;7.2;0.048;52;207;0.99587;3.12;0.37;9.2;5
11964,6;0.22;0.25;11.1;0.056;112;177;0.9961;3.08;0.36;9.4;6
11965,6.2;0.22;0.3;12.4;0.054;108;152;0.99728;3.1;0.47;9.5;6
11966,6.1;0.23;0.27;9.8;0.055;74;134;0.99534;3.16;0.4;10.2;6
11967,6.5;0.27;0.19;6.6;0.045;98;175;0.99364;3.16;0.34;10.1;6
11968,7.3;0.36;0.54;13.3;0.054;63;193;0.99864;3.06;0.49;8.6;4
11969,7.6;0.37;0.51;11.7;0.094;58;181;0.99776;2.91;0.51;9;5
11970,6.7;0.26;0.51;8;0.062;50;194;0.99545;3.13;0.5;9.6;5
11971,7.4;0.22;0.27;1.6;0.057;45;98;0.99299;3.29;0.44;9.9;7
11972,6.1;0.22;0.28;16.55;0.059;54;135;0.99665;3.2;0.38;10.5;5
11973,7.1;0.28;0.31;1.5;0.053;20;98;0.99069;3.15;0.5;11.4;5
11974,6.5;0.35;0.31;10.2;0.069;58;170;0.99692;3.18;0.49;9.4;5
11975,6.8;0.73;0.2;6.6;0.054;25;65;0.99324;3.12;0.28;11.1;4
11976,6;0.28;0.24;17.8;0.047;42;111;0.99896;3.1;0.45;8.9;6
11977,6;0.28;0.24;17.8;0.047;42;111;0.99896;3.1;0.45;8.9;6
11978,7.1;0.2;0.37;1.5;0.049;28;129;0.99226;3.15;0.52;10.8;5
11979,6.8;0.33;0.31;7.4;0.045;34;143;0.99226;3.06;0.55;12.2;6
11980,6;0.28;0.24;17.8;0.047;42;111;0.99896;3.1;0.45;8.9;6
11981,7.2;0.24;0.36;2;0.029;21;63;0.99076;3.13;0.63;12.5;6
11982,6.8;0.33;0.31;7.4;0.045;34;143;0.99226;3.06;0.55;12.2;6
11983,7.2;0.24;0.36;2;0.029;21;63;0.99076;3.13;0.63;12.5;6
11984,6;0.28;0.24;17.8;0.047;42;111;0.99896;3.1;0.45;8.9;6
11985,6.2;0.27;0.26;12.1;0.046;43;127;0.9951;3.16;0.37;10.8;6
11986,6.4;0.38;0.26;8.2;0.043;28;98;0.99234;2.99;0.31;11.4;6
11987,7.1;0.2;0.37;1.5;0.049;28;129;0.99226;3.15;0.52;10.8;5
11988,6;0.21;0.3;8.7;0.036;47;127;0.99368;3.18;0.39;10.6;5
11989,7;0.34;0.1;3.5;0.044;17;63;0.9937;3.01;0.39;9.2;5
11990,5.9;0.435;0.16;6.4;0.031;21;134;0.99151;3.24;0.46;12.2;6
11991,7;0.25;0.33;2.1;0.021;17;76;0.99021;3.26;0.45;12.3;6
11992,6.7;0.26;0.29;7.7;0.038;40;179;0.99479;3.23;0.56;10.4;6
11993,7;0.24;0.3;12.3;0.035;72;172;0.9954;2.99;0.57;10.4;6
11994,8.5;0.23;0.34;1.3;0.035;54;110;0.99176;3.07;0.55;11;7
11995,6;0.21;0.3;8.7;0.036;47;127;0.99368;3.18;0.39;10.6;5
11996,7;0.34;0.1;3.5;0.044;17;63;0.9937;3.01;0.39;9.2;5
11997,4.8;0.65;0.12;1.1;0.013;4;10;0.99246;3.32;0.36;13.5;4
11998,6.1;0.22;0.38;2.8;0.144;12;65;0.9908;2.95;0.64;11.4;6
11999,5.8;0.27;0.26;3.5;0.071;26;69;0.98994;3.1;0.38;11.5;6
12000,5;0.455;0.18;1.9;0.036;33;106;0.98746;3.21;0.83;14;7
12001,6.5;0.33;0.3;3.8;0.036;34;88;0.99028;3.25;0.63;12.5;7
12002,6.5;0.33;0.3;3.8;0.036;34;88;0.99028;3.25;0.63;12.5;7
12003,6.7;0.31;0.3;2.4;0.038;30;83;0.98867;3.09;0.36;12.8;7
12004,6.2;0.39;0.24;4.8;0.037;45;138;0.99174;3.23;0.43;11.2;7
12005,6.2;0.39;0.24;4.8;0.037;45;138;0.99174;3.23;0.43;11.2;7
12006,7.1;0.37;0.3;6.2;0.04;49;139;0.99021;3.17;0.27;13.6;6
12007,7.2;0.23;0.82;1.3;0.149;70;109;0.99304;2.93;0.42;9.2;6
12008,6.5;0.33;0.3;3.8;0.036;34;88;0.99028;3.25;0.63;12.5;7
12009,7.2;0.25;0.32;1.5;0.054;24;105;0.99154;3.17;0.48;11.1;6
12010,6.2;0.39;0.24;4.8;0.037;45;138;0.99174;3.23;0.43;11.2;7
12011,4.7;0.455;0.18;1.9;0.036;33;106;0.98746;3.21;0.83;14;7
12012,7.1;0.37;0.3;6.2;0.04;49;139;0.99021;3.17;0.27;13.6;6
12013,6.2;0.28;0.51;7.9;0.056;49;206;0.9956;3.18;0.52;9.4;5
12014,6.4;0.35;0.28;1.6;0.037;31;113;0.98779;3.12;0.4;14.2;7
12015,6.6;0.31;0.28;1.4;0.035;28;107;0.98836;3;0.4;13.2;6
12016,7.4;0.25;0.37;2.6;0.05;24;132;0.99138;3.04;0.53;11.2;6
12017,7.3;0.36;0.34;14.8;0.057;46;173;0.99751;3.14;0.57;10.2;5
12018,6.7;0.31;0.3;2.4;0.038;30;83;0.98867;3.09;0.36;12.8;7
12019,8.6;0.31;0.3;0.9;0.045;16;109;0.99249;2.95;0.39;10.1;5
12020,8.6;0.31;0.3;0.9;0.045;16;109;0.99249;2.95;0.39;10.1;5
12021,8.6;0.22;0.33;1.2;0.031;38;95;0.99239;2.83;0.31;10.3;5
12022,6.9;0.14;0.29;9.9;0.056;30;91;0.99512;3.19;0.33;9.9;6
12023,6.5;0.22;0.31;3.9;0.046;17;106;0.99098;3.15;0.31;11.5;5
12024,6.6;0.32;0.47;15.6;0.063;27;173;0.99872;3.18;0.56;9;5
12025,6.6;0.32;0.47;15.6;0.063;27;173;0.99872;3.18;0.56;9;5
12026,6.1;0.28;0.26;1.5;0.03;25;101;0.98894;3.03;0.41;12.1;6
12027,6.2;0.3;0.28;1.6;0.036;28;106;0.988245;3.14;0.41;13.3;6
12028,6.9;0.22;0.28;7.8;0.05;43;116;0.99326;3.22;0.6;11.5;8
12029,8.7;0.31;0.21;5.6;0.039;28;67;0.99328;2.96;0.52;11;4
12030,7.3;0.27;0.3;1.3;0.04;26;84;0.99222;3.28;0.53;10.7;6
12031,7;0.46;0.2;16.7;0.046;50;184;0.99898;3.08;0.56;9.4;5
12032,5.7;0.23;0.25;7.95;0.042;16;108;0.99486;3.44;0.61;10.3;6
12033,6.5;0.36;0.36;6.7;0.185;51.5;151;0.99528;3.17;0.42;9.3;5
12034,8.2;0.18;0.38;1.1;0.04;41;92;0.99062;2.88;0.6;12;6
12035,6.2;0.27;0.32;6.3;0.048;47;159;0.99282;3.21;0.6;11;6
12036,6.9;0.4;0.37;8.9;0.053;36;148;0.996;3.16;0.5;9.3;5
12037,4.9;0.345;0.34;1;0.068;32;143;0.99138;3.24;0.4;10.1;5
12038,7.2;0.23;0.39;1.5;0.053;26;106;0.99166;3.18;0.47;11.1;6
12039,6.4;0.2;0.15;6.6;0.046;26;113;0.99408;2.99;0.58;9.9;6
12040,6.1;0.27;0.32;6.2;0.048;47;161;0.99281;3.22;0.6;11;6
12041,6.2;0.27;0.32;6.3;0.048;47;159;0.99282;3.21;0.6;11;6
12042,6;0.3;0.33;2.1;0.042;31;127;0.98964;3.32;0.42;12.5;6
12043,6.1;0.3;0.32;2.2;0.042;41;142;0.98952;3.31;0.44;12.7;7
12044,5.7;0.14;0.3;5.4;0.045;26;105;0.99469;3.32;0.45;9.3;5
12045,6.9;0.4;0.37;8.9;0.053;36;148;0.996;3.16;0.5;9.3;5
12046,4.9;0.345;0.34;1;0.068;32;143;0.99138;3.24;0.4;10.1;5
12047,6.3;0.33;0.2;17.9;0.066;36;161;0.9991;3.14;0.51;8.8;5
12048,7;0.16;0.3;2.6;0.043;34;90;0.99047;2.88;0.47;11.2;6
12049,8.4;0.22;0.3;1.3;0.038;45;122;0.99178;3.13;0.54;10.8;7
12050,6.3;0.33;0.2;17.9;0.066;36;161;0.9991;3.14;0.51;8.8;5
12051,7;0.16;0.3;2.6;0.043;34;90;0.99047;2.88;0.47;11.2;6
12052,5.4;0.24;0.18;2.3;0.05;22;145;0.99207;3.24;0.46;10.3;5
12053,7.7;0.31;0.36;4.3;0.026;15;87;0.99152;3.11;0.48;12;5
12054,5.6;0.185;0.19;7.1;0.048;36;110;0.99438;3.26;0.41;9.5;6
12055,5.6;0.185;0.19;7.1;0.048;36;110;0.99438;3.26;0.41;9.5;6
12056,6.6;0.43;0.24;11.9;0.04;54;159;0.99622;3.14;0.54;9.8;6
12057,7.6;0.39;0.46;11.7;0.084;55;170;0.99773;2.91;0.51;9;5
12058,7.2;0.58;0.27;5.8;0.032;40;118;0.99088;3.17;0.53;13;7
12059,6;0.34;0.32;3.8;0.044;13;116;0.99108;3.39;0.44;11.8;7
12060,7.5;0.35;0.48;12.4;0.056;61;176.5;0.99803;2.97;0.52;8.8;5
12061,7.3;0.38;0.23;6.5;0.05;18;102;0.99304;3.1;0.55;11.2;4
12062,5.4;0.185;0.19;7.1;0.048;36;110;0.99438;3.26;0.41;9.5;6
12063,6.3;0.27;0.51;7.6;0.049;35;200;0.99548;3.16;0.54;9.4;4
12064,6.5;0.29;0.52;7.9;0.049;35;192;0.99551;3.16;0.51;9.5;6
12065,6.4;0.17;0.3;2.8;0.034;33;125;0.99152;3.03;0.49;10.4;6
12066,6.7;0.18;0.31;10.6;0.035;42;143;0.99572;3.08;0.49;9.8;7
12067,6.4;0.17;0.3;2.8;0.034;33;125;0.99152;3.03;0.49;10.4;6
12068,6.8;0.37;0.67;1.5;0.175;16;98;0.99244;3.06;0.56;10.3;6
12069,6.3;0.27;0.51;7.6;0.049;35;200;0.99548;3.16;0.54;9.4;4
12070,6.5;0.29;0.52;7.9;0.049;35;192;0.99551;3.16;0.51;9.5;6
12071,6.1;0.24;0.26;1.7;0.033;61;134;0.9903;3.19;0.81;11.9;7
12072,7;0.32;0.29;7.6;0.025;35;124;0.99162;3.15;0.65;12.8;7
12073,6.9;0.27;0.25;7.5;0.03;18;117;0.99116;3.09;0.38;13;6
12074,6.5;0.29;0.53;1.7;0.04;41;192;0.9922;3.26;0.59;10.4;7
12075,6.5;0.29;0.52;1.7;0.034;41;193;0.99223;3.25;0.59;10.4;6
12076,6.1;0.22;0.25;12.1;0.035;54;135;0.99481;3.21;0.4;10.7;5
12077,6.3;0.22;0.27;4.5;0.036;81;157;0.9928;3.05;0.76;10.7;7
12078,6.1;0.24;0.26;1.7;0.033;61;134;0.9903;3.19;0.81;11.9;7
12079,5.6;0.23;0.25;8;0.043;31;101;0.99429;3.19;0.42;10.4;6
12080,7;0.32;0.29;7.6;0.025;35;124;0.99162;3.15;0.65;12.8;7
12081,6.8;0.11;0.27;8.6;0.044;45;104;0.99454;3.2;0.37;9.9;6
12082,6.8;0.11;0.27;8.6;0.044;45;104;0.99454;3.2;0.37;9.9;6
12083,7.3;0.23;0.41;14.6;0.048;73;223;0.99863;3.16;0.71;9.4;6
12084,6.1;0.2;0.17;1.6;0.048;46;129;0.991;3.3;0.43;11.4;6
12085,6.8;0.11;0.27;8.6;0.044;45;104;0.99454;3.2;0.37;9.9;6
12086,7.3;0.23;0.41;14.6;0.048;73;223;0.99863;3.16;0.71;9.4;6
12087,6.9;0.2;0.41;1.1;0.06;36;104;0.99317;2.99;0.39;9.2;5
12088,6.7;0.19;0.32;3.7;0.041;26;76;0.99173;2.9;0.57;10.5;7
12089,6.7;0.28;0.34;8.9;0.048;32;111;0.99455;3.25;0.54;11;7
12090,6.7;0.28;0.34;8.9;0.048;32;111;0.99455;3.25;0.54;11;7
12091,8;0.37;0.31;4.7;0.038;3;127;0.99186;2.9;0.72;12.1;5
12092,6.7;0.28;0.34;8.9;0.048;32;111;0.99455;3.25;0.54;11;7
12093,6;0.26;0.29;3.1;0.041;37;144;0.98944;3.22;0.39;12.8;7
12094,6.4;0.24;0.49;5.8;0.053;25;120;0.9942;3.01;0.98;10.5;6
12095,6.4;0.24;0.49;5.8;0.053;25;120;0.9942;3.01;0.98;10.5;6
12096,6.4;0.24;0.49;5.8;0.053;25;120;0.9942;3.01;0.98;10.5;6
12097,6.4;0.25;0.57;1;0.062;21;122;0.99238;3;0.4;9.5;5
12098,6.1;0.25;0.48;15.8;0.052;25;94;0.99782;3.07;0.45;9.2;6
12099,6.8;0.14;0.35;1.5;0.047;40;117;0.99111;3.07;0.72;11.1;6
12100,6.5;0.38;0.26;5.2;0.042;33;112;0.99067;3.06;0.5;12.3;7
12101,6.8;0.14;0.35;1.5;0.047;40;117;0.99111;3.07;0.72;11.1;6
12102,5.4;0.15;0.32;2.5;0.037;10;51;0.98878;3.04;0.58;12.6;6
12103,6.4;0.25;0.57;1;0.062;21;122;0.99238;3;0.4;9.5;5
12104,6.1;0.25;0.48;15.8;0.052;25;94;0.99782;3.07;0.45;9.2;6
12105,6.8;0.22;0.32;5.9;0.054;40;152;0.9938;3.2;0.57;10.8;6
12106,7.2;0.21;0.29;3.1;0.044;39;122;0.99143;3;0.6;11.3;6
12107,6;0.26;0.29;3.1;0.041;37;144;0.98944;3.22;0.39;12.8;7
12108,6.4;0.24;0.49;5.8;0.053;25;120;0.9942;3.01;0.98;10.5;6
12109,6.5;0.46;0.24;11.5;0.051;56;171;0.99588;3.08;0.56;9.8;6
12110,6.5;0.18;0.48;18;0.054;56;183;1.00038;2.98;0.61;8.5;6
12111,6.2;0.32;0.12;4.8;0.054;6;97;0.99424;3.16;0.5;9.3;5
12112,7.2;0.4;0.24;8.5;0.055;45;151;0.99626;3.2;0.52;9.2;5
12113,5.9;0.23;0.24;1.6;0.037;32;115;0.99076;3.21;0.51;11.4;6
12114,6.4;0.18;0.48;18;0.054;56;183;1.00038;2.98;0.61;8.5;6
12115,6.2;0.32;0.12;4.8;0.054;6;97;0.99424;3.16;0.5;9.3;5
12116,6.4;0.37;0.12;5.9;0.056;6;91;0.99536;3.06;0.46;8.4;4
12117,7;0.23;0.42;1.1;0.062;35;100;0.99318;3.04;0.4;9.2;5
12118,7.2;0.4;0.24;8.5;0.055;45;151;0.99626;3.2;0.52;9.2;5
12119,7.6;0.19;0.37;13.1;0.033;52;151;0.99726;3.18;0.79;10.4;6
12120,6;0.28;0.27;4.1;0.046;50;147;0.99126;3.27;0.56;11.6;6
12121,6.2;0.32;0.45;2.9;0.029;37;94;0.98998;3.25;0.6;12.4;6
12122,7.6;0.19;0.37;13.1;0.033;52;151;0.99726;3.18;0.79;10.4;6
12123,6.4;0.26;0.26;1.1;0.052;22;176;0.99304;3.09;0.54;9.3;5
12124,5.9;0.25;0.27;1.5;0.029;37;81;0.9892;3.2;0.46;12.2;6
12125,6.1;0.28;0.3;7.75;0.031;33;139;0.99296;3.22;0.46;11;6
12126,6.9;0.19;0.38;1.15;0.023;30;105;0.99047;3.11;0.38;11.4;5
12127,6.4;0.29;0.57;1;0.06;15;120;0.9924;3.06;0.41;9.5;5
12128,6.8;0.27;0.22;17.8;0.034;16;116;0.9989;3.07;0.53;9.2;5
12129,7.5;0.26;0.38;5.7;0.021;23;125;0.99338;3.13;0.62;11.1;6
12130,6.8;0.27;0.22;17.8;0.034;16;116;0.9989;3.07;0.53;9.2;5
12131,6.4;0.2;0.22;7.4;0.032;53;172;0.99404;3.24;0.58;11;6
12132,7.3;0.33;0.22;1.4;0.041;40;177;0.99287;3.14;0.48;9.9;5
12133,7.3;0.34;0.22;1.4;0.044;43;176;0.99286;3.14;0.46;9.9;5
12134,6.4;0.29;0.57;1;0.06;15;120;0.9924;3.06;0.41;9.5;5
12135,6.1;1.1;0.16;4.4;0.033;8;109;0.99058;3.35;0.47;12.4;4
12136,6.3;0.24;0.29;1.6;0.052;48;185;0.9934;3.21;0.5;9.4;5
12137,6.2;0.24;0.22;7.9;0.053;45;149;0.99545;3.23;0.52;9.3;5
12138,7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
12139,7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
12140,7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
12141,7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
12142,7.2;0.17;0.28;17.55;0.05;33;154;0.99971;2.94;0.43;9;7
12143,6.9;0.19;0.35;13.5;0.038;49;118;0.99546;3;0.63;10.7;6
12144,6.9;0.19;0.35;13.5;0.038;49;118;0.99546;3;0.63;10.7;6
12145,6.8;0.16;0.36;1.3;0.034;32;98;0.99058;3.02;0.58;11.3;6
12146,7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
12147,6.8;0.3;0.27;11.6;0.028;22;97;0.99314;2.96;0.38;11.7;6
12148,6.2;0.24;0.22;7.9;0.053;45;149;0.99545;3.23;0.52;9.3;5
12149,7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
12150,7.2;0.17;0.28;17.55;0.05;33;154;0.99971;2.94;0.43;9;7
12151,6.8;0.3;0.27;11.6;0.028;22;97;0.99314;2.96;0.38;11.7;6
12152,6.5;0.43;0.18;13.15;0.032;25;131;0.99565;3.23;0.51;10.7;5
12153,6.6;0.17;0.36;1.9;0.036;38;110;0.99056;3.05;0.54;11.4;6
